,word,sense_index,name,lexname,pos,definition,examples
0,fish,0,fish.n.01,noun.animal,n,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,the shark is a large fish;in the living room there was a tank of colorful fish
1,fish,1,fish.n.02,noun.food,n,the flesh of fish used as food,in Japan most fish is eaten raw;after the scare about foot-and-mouth disease a lot of people started eating fish instead of meat;they have a chef who specializes in fish
2,fish,2,pisces.n.02,noun.person,n,(astrology) a person who is born while the sun is in Pisces,
3,fish,3,pisces.n.01,noun.location,n,the twelfth sign of the zodiac; the sun is in this sign from about February 19 to March 20,
4,fish,4,fish.v.01,verb.contact,v,seek indirectly,fish for compliments
5,fish,5,fish.v.02,verb.competition,v,catch or try to catch fish or shellfish,I like to go fishing on weekends
0,up,0,up.v.01,verb.change,v,raise,up the ante
1,up,1,up.a.01,adj.all,a,being or moving higher in position or greater in some value; being above a former position or level,the anchor is up;the sun is up;he lay face up;he is up by a pawn;the market is up;the corn is up
2,up,2,astir.s.01,adj.all,s,out of bed,are they astir yet?;up by seven each morning
3,up,3,improving.s.01,adj.all,s,getting higher or more vigorous,its an up market;an improving economy
4,up,4,up.s.04,adj.all,s,extending or moving toward a higher place,the up staircase;a general upward movement of fish
5,up,5,up.s.05,adj.all,s,(usually followed by `on' or `for') in readiness,he was up on his homework;had to be up for the game
6,up,6,up.s.06,adj.all,s,open,the windows are up
7,up,7,up.s.07,adj.all,s,(used of computers) operating properly,how soon will the computers be up?
8,up,8,up.s.08,adj.all,s,used up,time is up
9,up,9,up.r.01,adv.all,r,spatially or metaphorically from a lower to a higher position,look up!;the music surged up;the fragments flew upwards;prices soared upwards;upwardly mobile
10,up,10,up.r.02,adv.all,r,to a higher intensity,he turned up the volume
11,up,11,up.r.03,adv.all,r,nearer to the speaker,he walked up and grabbed my lapels
12,up,12,up.r.04,adv.all,r,to a more central or a more northerly place,was transferred up to headquarters;up to Canada for a vacation
13,up,13,up.r.05,adv.all,r,to a later time,they moved the meeting date up;from childhood upward
