,word,sense_index,name,lexname,pos,definition,examples
0,quiet,0,lull.n.02,noun.state,n,a period of calm weather,there was a lull in the storm
1,quiet,1,tranquillity.n.01,noun.state,n,an untroubled state; free from disturbances,
2,quiet,2,silence.n.02,noun.attribute,n,the absence of sound,he needed silence in order to sleep;the street was quiet
3,quiet,3,repose.n.03,noun.attribute,n,a disposition free from stress or emotion,
4,quiet,4,quieten.v.01,verb.perception,v,become quiet or quieter,The audience fell silent when the speaker entered
5,quiet,5,calm.v.01,verb.emotion,v,make calm or still,quiet the dragons of worry and fear
6,quiet,6,quiet.a.01,adj.all,a,characterized by an absence or near absence of agitation or activity,a quiet life;a quiet throng of onlookers;quiet peace-loving people;the factions remained quiet for almost 10 years
7,quiet,7,quiet.a.02,adj.all,a,free of noise or uproar; or making little if any sound,a quiet audience at the concert;the room was dark and quiet
8,quiet,8,quiet.s.03,adj.all,s,not showy or obtrusive,clothes in quiet good taste
9,quiet,9,hushed.s.01,adj.all,s,in a softened tone,hushed voices;muted trumpets;a subdued whisper;a quiet reprimand
10,quiet,10,placid.s.01,adj.all,s,(of a body of water) free from disturbance by heavy waves,a ribbon of sand between the angry sea and the placid bay;the quiet waters of a lagoon;a lake of tranquil blue water reflecting a tranquil blue sky;a smooth channel crossing;scarcely a ripple on the still water;unruffled water
11,quiet,11,quiet.a.06,adj.all,a,of the sun characterized by a low level of surface phenomena like sunspots e.g.,
12,quiet,12,quietly.r.03,adv.all,r,with little or no activity or no agitation (`quiet' is a nonstandard variant for `quietly'),her hands rested quietly in her lap;the rock star was quietly led out the back door;sit here as quiet as you can
0,wake,0,aftermath.n.01,noun.phenomenon,n,the consequences of an event (especially a catastrophic event),the aftermath of war;in the wake of the accident no one knew how many had been injured
1,wake,1,wake_island.n.01,noun.location,n,an island in the western Pacific between Guam and Hawaii,
2,wake,2,wake.n.03,noun.event,n,the wave that spreads behind a boat as it moves forward,the motorboat's wake capsized the canoe
3,wake,3,wake.n.04,noun.act,n,a vigil held over a corpse the night before burial,there's no weeping at an Irish wake
4,wake,4,wake.v.01,verb.body,v,"be awake, be alert, be there",
5,wake,5,wake_up.v.02,verb.body,v,stop sleeping,She woke up to the sound of the alarm clock
6,wake,6,inflame.v.04,verb.emotion,v,arouse or excite feelings and passions,The ostentatious way of living of the rich ignites the hatred of the poor;The refugees' fate stirred up compassion around the world;Wake old feelings of hatred
7,wake,7,wake.v.04,verb.communication,v,make aware of,His words woke us to terrible facts of the situation
8,wake,8,awaken.v.01,verb.body,v,cause to become awake or conscious,He was roused by the drunken men in the street;Please wake me at 6 AM.
0,penny,0,penny.n.01,noun.quantity,n,a fractional monetary unit of Ireland and the United Kingdom; equal to one hundredth of a pound,
1,penny,1,penny.n.02,noun.possession,n,a coin worth one-hundredth of the value of the basic unit,
0,beach,0,beach.n.01,noun.object,n,an area of sand sloping down to the water of a sea or lake,
1,beach,1,beach.v.01,verb.motion,v,land on a beach,the ship beached near the port
0,friend,0,friend.n.01,noun.person,n,a person you know well and regard with affection and trust,he was my best friend at the university
1,friend,1,ally.n.02,noun.person,n,an associate who provides cooperation or assistance,he's a good ally in fight
2,friend,2,acquaintance.n.03,noun.person,n,a person with whom you are acquainted,I have trouble remembering the names of all my acquaintances;we are friends of the family
3,friend,3,supporter.n.01,noun.person,n,a person who backs a politician or a team etc.,all their supporters came out for the game;they are friends of the library
4,friend,4,friend.n.05,noun.person,n,a member of the Religious Society of Friends founded by George Fox (the Friends have never called themselves Quakers),
0,under,0,nether.s.03,adj.all,s,located below or beneath something else,nether garments;the under parts of a machine
1,under,1,under.s.02,adj.all,s,"lower in rank, power, or authority",an under secretary
2,under,2,under.r.01,adv.all,r,"down to defeat, death, or ruin",their competitors went under
3,under,3,under.r.02,adv.all,r,through a range downward,children six and under will be admitted free
4,under,4,under.r.03,adv.all,r,into unconsciousness,this will put the patient under
5,under,5,under.r.04,adv.all,r,in or into a state of subordination or subjugation,we must keep our disappointment under
6,under,6,under.r.05,adv.all,r,below some quantity or limit,fifty dollars or under
7,under,7,under.r.06,adv.all,r,below the horizon,the sun went under
8,under,8,under.r.07,adv.all,r,down below,get under quickly!
9,under,9,under.r.08,adv.all,r,further down,see under for further discussion
0,oven,0,oven.n.01,noun.artifact,n,kitchen appliance used for baking or roasting,
0,bring,0,bring.v.01,verb.motion,v,take something or somebody with oneself somewhere,Bring me the box from the other room;Take these letters to the boss;This brings me to the main point
1,bring,1,bring.v.02,verb.contact,v,cause to come into a particular state or condition,Long hard years of on the job training had brought them to their competence;bring water to the boiling point
2,bring,2,bring.v.03,verb.creation,v,cause to happen or to occur as a consequence,I cannot work a miracle;wreak havoc;bring comments;play a joke;The rain brought relief to the drought-stricken area
3,bring,3,bring.v.04,verb.contact,v,go or come after and bring or take back,"Get me those books over there, please;Could you bring the wine?;The dog fetched the hat"
4,bring,4,bring.v.05,verb.change,v,bring into a different state,this may land you in jail
5,bring,5,bring.v.06,verb.contact,v,be accompanied by,Can I bring my cousin to the dinner?
6,bring,6,institute.v.02,verb.creation,v,advance or set forth in court,"bring charges"", ""institute proceedings"
7,bring,7,lend.v.01,verb.possession,v,bestow a quality on,Her presence lends a certain cachet to the company;The music added a lot to the play;She brings a special atmosphere to our meetings;This adds a light note to the program
8,bring,8,fetch.v.02,verb.possession,v,be sold for a certain price,"The painting brought $10,000;The old print fetched a high price at the auction"
9,bring,9,bring.v.10,verb.emotion,v,attract the attention of,The noise and the screaming brought the curious
10,bring,10,bring.v.11,verb.communication,v,induce or persuade,The confession of one of the accused brought the others to admit to the crime as well
0,hear,0,hear.v.01,verb.perception,v,perceive (sound) via the auditory sense,
1,hear,1,learn.v.02,verb.cognition,v,"get to know or become aware of, usually accidentally",I learned that she has two grown-up children;I see that you have been promoted
2,hear,2,hear.v.03,verb.social,v,examine or hear (evidence or a case) by judicial process,The jury had heard all the evidence;The case will be tried in California
3,hear,3,hear.v.04,verb.perception,v,receive a communication from someone,We heard nothing from our son for five years
4,hear,4,listen.v.02,verb.perception,v,listen and pay attention,Listen to your father;We must hear the expert before we make a decision
0,put,0,put_option.n.02,noun.act,n,the option to sell a given stock (or stock index or commodity future) at a given price before a given date,
1,put,1,put.v.01,verb.contact,v,put into a certain place or abstract location,Put your things here;Set the tray down;Set the dogs on the scent of the missing children;Place emphasis on a certain point
2,put,2,put.v.02,verb.contact,v,cause to be in a certain state; cause to be in a certain relation,That song put me in awful good humor;put your ideas in writing
3,put,3,frame.v.04,verb.communication,v,formulate in a particular style or language,I wouldn't put it that way;She cast her request in very polite language
4,put,4,put.v.04,verb.consumption,v,attribute or give,She put too much emphasis on her the last statement;He put all his efforts into this job;The teacher put an interesting twist to the interpretation of the story
5,put,5,invest.v.01,verb.possession,v,make an investment,Put money into bonds
6,put,6,place.v.11,verb.cognition,v,estimate,We put the time of arrival at 8 P.M.
7,put,7,put.v.07,verb.perception,v,cause (someone) to undergo something,He put her to the torture
8,put,8,put.v.08,verb.creation,v,adapt,put these words to music
9,put,9,arrange.v.07,verb.cognition,v,"arrange thoughts, ideas, temporal events",arrange my schedule;set up one's life;I put these memories with those of bygone times
0,smile,0,smile.n.01,noun.communication,n,a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement,
1,smile,1,smile.v.01,verb.body,v,"change one's facial expression by spreading the lips, often to signal pleasure",
2,smile,2,smile.v.02,verb.communication,v,express with a smile,She smiled her thanks
0,take,0,return.n.06,noun.possession,n,the income or profit arising from such transactions as the sale of land or other property,the average return was about 5%
1,take,1,take.n.02,noun.act,n,the act of photographing a scene or part of a scene without interruption,
2,take,2,take.v.01,verb.social,v,carry out,take action;take steps;take vengeance
3,take,3,take.v.02,verb.possession,v,require (time or space),It took three hours to get to work this morning;This event occupied a very short time
4,take,4,lead.v.01,verb.motion,v,take somebody somewhere,We lead him to our chief;can you take me to the main entrance?;He conducted us to the palace
5,take,5,take.v.04,verb.contact,v,"get into one's hands, take physically","Take a cookie!;Can you take this bag, please"
6,take,6,assume.v.03,verb.change,v,"take on a certain form, attribute, or aspect",His voice took on a sad tone;The story took a new turn;he adopted an air of superiority;She assumed strange manners;The gods assume human or animal form in these fables
7,take,7,take.v.06,verb.cognition,v,interpret something in a certain way; convey a particular meaning or impression,I read this address as a satire;How should I take this message?;You can't take credit for this!
8,take,8,bring.v.01,verb.motion,v,take something or somebody with oneself somewhere,Bring me the box from the other room;Take these letters to the boss;This brings me to the main point
9,take,9,take.v.08,verb.possession,v,take into one's possession,We are taking an orphan from Romania;I'll take three salmon steaks
10,take,10,take.v.09,verb.motion,v,"travel or go by means of a certain kind of transportation, or a certain route",He takes the bus to work;She takes Route 1 to Newark
11,take,11,choose.v.01,verb.cognition,v,"pick out, select, or choose from a number of alternatives",Take any one of these cards;Choose a good husband for your daughter;She selected a pair of shoes from among the dozen the salesgirl had shown her
12,take,12,accept.v.02,verb.possession,v,receive willingly something given or offered,The only girl who would have him was the miller's daughter;I won't have this dog in my house!;Please accept my present
13,take,13,fill.v.04,verb.social,v,"assume, as of positions or roles",She took the job as director of development;he occupies the position of manager;the young prince will soon occupy the throne
14,take,14,consider.v.03,verb.cognition,v,take into consideration for exemplifying purposes,Take the case of China;Consider the following case
15,take,15,necessitate.v.01,verb.stative,v,"require as useful, just, or proper",It takes nerve to do what she did;success usually requires hard work;This job asks a lot of patience and skill;This position demands a lot of personal sacrifice;This dinner calls for a spectacular dessert;This intervention does not postulate a patient's consent
16,take,16,take.v.15,verb.perception,v,experience or feel or submit to,Take a test;Take the plunge
17,take,17,film.v.01,verb.communication,v,make a film or photograph of something,take a scene;shoot a movie
18,take,18,remove.v.01,verb.change,v,"remove something concrete, as by lifting, pushing, or taking off, or remove something abstract",remove a threat;remove a wrapper;Remove the dirty dishes from the table;take the gun from your pocket;This machine withdraws heat from the environment
19,take,19,consume.v.02,verb.consumption,v,"serve oneself to, or consume regularly",Have another bowl of chicken soup!;I don't take sugar in my coffee
20,take,20,take.v.19,verb.cognition,v,"accept or undergo, often unwillingly",We took a pay cut
21,take,21,take.v.20,verb.possession,v,make use of or accept for some purpose,take a risk;take an opportunity
22,take,22,take.v.21,verb.possession,v,take by force,Hitler took the Baltic Republics;The army took the fort on the hill
23,take,23,assume.v.05,verb.motion,v,occupy or take on,He assumes the lotus position;She took her seat on the stage;We took our seats in the orchestra;She took up her position behind the tree;strike a pose
24,take,24,accept.v.05,verb.possession,v,admit into a group or community,accept students for graduate study;We'll have to vote on whether or not to admit a new member
25,take,25,take.v.24,verb.change,v,"ascertain or determine by measuring, computing or take a reading from a dial",take a pulse;A reading was taken of the earth's tremors
26,take,26,learn.v.04,verb.cognition,v,be a student of a certain subject,She is reading for the bar exam
27,take,27,claim.v.05,verb.communication,v,take as an undesirable consequence of some event or state of affairs,the accident claimed three lives;The hard work took its toll on her
28,take,28,take.v.27,verb.motion,v,head into a specified direction,The escaped convict took to the hills;We made for the mountains
29,take,29,aim.v.01,verb.competition,v,"point or cause to go (blows, weapons, or objects such as photographic equipment) towards",Please don't aim at your little brother!;He trained his gun on the burglar;Don't train your camera on the women;Take a swipe at one's opponent
30,take,30,take.v.29,verb.change,v,be seized or affected in a specified way,take sick;be taken drunk
31,take,31,carry.v.02,verb.stative,v,have with oneself; have on one's person,She always takes an umbrella;I always carry money;She packs a gun when she goes into the mountains
32,take,32,lease.v.04,verb.possession,v,engage for service under a term of contract,We took an apartment on a quiet street;Let's rent a car;Shall we take a guide in Rome?
33,take,33,subscribe.v.05,verb.possession,v,receive or obtain regularly,We take the Times every day
34,take,34,take.v.33,verb.possession,v,"buy, select",I'll take a pound of that sausage
35,take,35,take.v.34,verb.possession,v,"to get into a position of having, e.g., safety, comfort",take shelter from the storm
36,take,36,take.v.35,verb.contact,v,have sex with; archaic use,He had taken this woman when she was most vulnerable
37,take,37,claim.v.04,verb.communication,v,lay claim to; as of an idea,She took credit for the whole idea
38,take,38,accept.v.08,verb.stative,v,be designed to hold or take,This surface will not take the dye
39,take,39,contain.v.05,verb.stative,v,be capable of holding or containing,This box won't take all the items;The flask holds one gallon
40,take,40,take.v.39,verb.social,v,develop a habit,He took to visiting bars
41,take,41,drive.v.16,verb.motion,v,proceed along in a vehicle,We drive the turnpike to work
42,take,42,take.v.41,verb.competition,v,obtain by winning,Winner takes all;He took first prize
43,take,43,contract.v.04,verb.body,v,"be stricken by an illness, fall victim to an illness",He got AIDS;She came down with pneumonia;She took a chill
0,morning,0,morning.n.01,noun.time,n,the time period between dawn and noon,I spent the morning running errands
1,morning,1,good_morning.n.01,noun.communication,n,a conventional expression of greeting or farewell,
2,morning,2,dawn.n.01,noun.time,n,the first light of day,we got up before dawn;they talked until morning
3,morning,3,dawn.n.02,noun.event,n,the earliest period,the dawn of civilization;the morning of the world
0,penguin,0,penguin.n.01,noun.animal,n,short-legged flightless birds of cold southern especially Antarctic regions having webbed feet and wings modified as flippers,
0,white,0,white.n.01,noun.person,n,a member of the Caucasoid race,
1,white,1,white.n.02,noun.attribute,n,the quality or state of the achromatic color of greatest lightness (bearing the least resemblance to black),
2,white,2,white.n.03,noun.person,n,United States jurist appointed chief justice of the United States Supreme Court in 1910 by President Taft; noted for his work on antitrust legislation (1845-1921),
3,white,3,white.n.04,noun.person,n,Australian writer (1912-1990),
4,white,4,white.n.05,noun.person,n,United States political journalist (1915-1986),
5,white,5,white.n.06,noun.person,n,United States architect (1853-1906),
6,white,6,white.n.07,noun.person,n,United States writer noted for his humorous essays (1899-1985),
7,white,7,white.n.08,noun.person,n,United States educator who in 1865 (with Ezra Cornell) founded Cornell University and served as its first president (1832-1918),
8,white,8,white.n.09,noun.object,n,a tributary of the Mississippi River that flows southeastward through northern Arkansas and southern Missouri,
9,white,9,egg_white.n.01,noun.food,n,the white part of an egg; the nutritive and protective gelatinous substance surrounding the yolk consisting mainly of albumin dissolved in water,she separated the whites from the yolks of several eggs
10,white,10,white.n.11,noun.artifact,n,(board games) the lighter pieces,
11,white,11,flannel.n.03,noun.artifact,n,(usually in the plural) trousers made of flannel or gabardine or tweed or white cloth,
12,white,12,whiten.v.01,verb.change,v,turn white,This detergent will whiten your laundry
13,white,13,white.a.01,adj.all,a,being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light,as white as fresh snow;a bride's white dress
14,white,14,white.a.02,adj.all,a,of or belonging to a racial group having light skin coloration,voting patterns within the white population
15,white,15,white.s.03,adj.all,s,free from moral blemish or impurity; unsullied,in shining white armor
16,white,16,white.s.04,adj.all,s,marked by the presence of snow,a white Christmas;the white hills of a northern winter
17,white,17,white.s.05,adj.all,s,restricted to whites only,under segregation there were even white restrooms and white drinking fountains;a lily-white movement which would expel Negroes from the organization
18,white,18,white.s.06,adj.all,s,glowing white with heat,white flames;a white-hot center of the fire
19,white,19,white.s.07,adj.all,s,benevolent; without malicious intent,that's white of you
20,white,20,blank.s.01,adj.all,s,(of a surface) not written or printed on,blank pages;fill in the blank spaces;a clean page;wide white margins
21,white,21,white.s.09,adj.all,s,(of coffee) having cream or milk added,
22,white,22,white.s.10,adj.all,s,(of hair) having lost its color,the white hairs of old age
23,white,23,ashen.s.01,adj.all,s,anemic looking from illness or emotion,"a face turned ashen;the invalid's blanched cheeks;tried to speak with bloodless lips;a face livid with shock;lips...livid with the hue of death""- Mary W. Shelley;lips white with terror;a face white with rage"
24,white,24,white.s.12,adj.all,s,of summer nights in northern latitudes where the sun barely sets,white nights
0,play,0,play.n.01,noun.communication,n,a dramatic work intended for performance by actors on a stage,he wrote several plays but only one was produced on Broadway
1,play,1,play.n.02,noun.communication,n,a theatrical performance of a drama,the play lasted two hours
2,play,2,play.n.03,noun.act,n,a preset plan of action in team sports,the coach drew up the plays for her team
3,play,3,maneuver.n.03,noun.act,n,a deliberate coordinated movement requiring dexterity and skill,he made a great maneuver;the runner was out on a play by the shortstop
4,play,4,play.n.05,noun.state,n,a state in which action is feasible,the ball was still in play;insiders said the company's stock was in play
5,play,5,play.n.06,noun.act,n,utilization or exercise,the play of the imagination
6,play,6,bid.n.02,noun.act,n,an attempt to get something,they made a futile play for power;he made a bid to gain attention
7,play,7,play.n.08,noun.act,n,activity by children that is guided more by imagination than by fixed rules,Freud believed in the utility of play to a small child
8,play,8,playing_period.n.01,noun.time,n,(in games or plays or other performances) the time during which play proceeds,rain stopped play in the 4th inning
9,play,9,free_rein.n.01,noun.state,n,the removal of constraints,he gave free rein to his impulses;they gave full play to the artist's talent
10,play,10,shimmer.n.01,noun.event,n,a weak and tremulous light,the shimmer of colors on iridescent feathers;the play of light on the water
11,play,11,fun.n.02,noun.communication,n,verbal wit or mockery (often at another's expense but not to be taken seriously),he became a figure of fun;he said it in sport
12,play,12,looseness.n.05,noun.attribute,n,movement or space for movement,there was too much play in the steering wheel
13,play,13,play.n.14,noun.act,n,gay or light-hearted recreational activity for diversion or amusement,it was all done in play;their frolic in the surf threatened to become ugly
14,play,14,turn.n.03,noun.act,n,(game) the activity of doing something in an agreed succession,it is my turn;it is still my play
15,play,15,gambling.n.01,noun.act,n,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize),his gambling cost him a fortune;there was heavy play at the blackjack table
16,play,16,play.n.17,noun.act,n,the act using a sword (or other weapon) vigorously and skillfully,
17,play,17,play.v.01,verb.competition,v,participate in games or sport,We played hockey all afternoon;play cards;Pele played for the Brazilian teams in many important matches
18,play,18,play.v.02,verb.social,v,act or have an effect in a specified way or with a specific effect or outcome,This factor played only a minor part in his decision;This development played into her hands;I played no role in your dismissal
19,play,19,play.v.03,verb.creation,v,play on an instrument,The band played all night long
20,play,20,act.v.03,verb.creation,v,play a role or part,"Gielgud played Hamlet;She wants to act Lady Macbeth, but she is too young for the role;She played the servant to her husband's master"
21,play,21,play.v.05,verb.social,v,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,The kids were playing outside all day;I used to play with trucks as a little girl
22,play,22,play.v.06,verb.creation,v,replay (as a melody),"Play it again, Sam;She played the third movement very beautifully"
23,play,23,play.v.07,verb.creation,v,perform music on (a musical instrument),He plays the flute;Can you play on this old recorder?
24,play,24,act.v.05,verb.body,v,pretend to have certain qualities or state of mind,He acted the idiot;She plays deaf when the news are bad
25,play,25,play.v.09,verb.motion,v,"move or seem to move quickly, lightly, or irregularly",The spotlights played on the politicians
26,play,26,play.v.10,verb.competition,v,bet or wager (money),He played $20 on the new horse;She plays the races
27,play,27,play.v.11,verb.social,v,engage in recreational activities rather than work; occupy oneself in a diversion,On weekends I play;The students all recreate alike
28,play,28,play.v.12,verb.creation,v,pretend to be somebody in the framework of a game or playful activity,Let's play like I am mommy;Play cowboy and Indians
29,play,29,play.v.13,verb.creation,v,emit recorded sound,The tape was playing for hours;the stereo was playing Beethoven when I entered
30,play,30,play.v.14,verb.creation,v,perform on a certain location,The prodigy played Carnegie Hall at the age of 16;She has been playing on Broadway for years
31,play,31,play.v.15,verb.competition,v,"put (a card or piece) into play during a game, or act strategically as if in a card game",He is playing his cards close to his chest;The Democrats still have some cards to play before they will concede the electoral victory
32,play,32,play.v.16,verb.body,v,engage in an activity as if it were a game rather than take it seriously,They played games on their opponents;play the stock market;play with her feelings;toy with an idea
33,play,33,play.v.17,verb.social,v,behave in a certain way,play safe;play it safe;play fair
34,play,34,play.v.18,verb.creation,v,cause to emit recorded audio or video,They ran the tapes over and over again;I'll play you my favorite record;He never tires of playing that video
35,play,35,toy.v.02,verb.contact,v,manipulate manually or in one's mind or imagination,She played nervously with her wedding ring;Don't fiddle with the screws;He played with the idea of running for the Senate
36,play,36,play.v.20,verb.consumption,v,use to one's advantage,She plays on her clients' emotions
37,play,37,dally.v.04,verb.cognition,v,consider not very seriously,He is trifling with her;She plays with the thought of moving to Tasmania
38,play,38,play.v.22,verb.stative,v,be received or accepted or interpreted in a specific way,This speech didn't play well with the American public;His remarks played to the suspicions of the committee
39,play,39,dally.v.01,verb.social,v,behave carelessly or indifferently,Play about with a young girl's affection
40,play,40,play.v.24,verb.motion,v,cause to move or operate freely within a bounded space,The engine has a wheel that is playing in a rack
41,play,41,act.v.10,verb.creation,v,perform on a stage or theater,She acts in this play;He acted in `Julius Caesar';I played in `A Christmas Carol'
42,play,42,play.v.26,verb.creation,v,be performed or presented for public viewing,What's playing in the local movie theater?;`Cats' has been playing on Broadway for many years
43,play,43,bring.v.03,verb.creation,v,cause to happen or to occur as a consequence,I cannot work a miracle;wreak havoc;bring comments;play a joke;The rain brought relief to the drought-stricken area
44,play,44,play.v.28,verb.contact,v,discharge or direct or be discharged or directed as if in a continuous stream,play water from a hose;The fountains played all day
45,play,45,play.v.29,verb.competition,v,make bets,Play the races;play the casinos in Trouville
46,play,46,bet.v.02,verb.competition,v,stake on the outcome of an issue,I bet $100 on that new horse;She played all her money on the dark horse
47,play,47,play.v.31,verb.competition,v,shoot or hit in a particular manner,She played a good backhand last night
48,play,48,play.v.32,verb.competition,v,use or move,I had to play my queen
49,play,49,play.v.33,verb.competition,v,employ in a game or in a specific position,They played him on first base
50,play,50,meet.v.10,verb.competition,v,"contend against an opponent in a sport, game, or battle",Princeton plays Yale this weekend;Charlie likes to play Mary
51,play,51,play.v.35,verb.body,v,exhaust by allowing to pull on the line,play a hooked fish
0,yard,0,yard.n.01,noun.quantity,n,a unit of length equal to 3 feet; defined as 91.44 centimeters; originally taken to be the average length of a stride,
1,yard,1,yard.n.02,noun.artifact,n,the enclosed land around a house or other building,it was a small house with almost no yard
2,yard,2,yard.n.03,noun.location,n,a tract of land enclosed for particular activities (sometimes paved and usually associated with buildings),they opened a repair yard on the edge of town
3,yard,3,thousand.n.01,noun.quantity,n,the cardinal number that is the product of 10 and 100,
4,yard,4,cubic_yard.n.01,noun.quantity,n,a unit of volume (as for sand or gravel),
5,yard,5,yard.n.06,noun.location,n,a tract of land where logs are accumulated,
6,yard,6,yard.n.07,noun.artifact,n,an area having a network of railway tracks and sidings for storage and maintenance of cars and engines,
7,yard,7,yard.n.08,noun.artifact,n,a long horizontal spar tapered at the end and used to support and spread a square sail or lateen,
8,yard,8,yard.n.09,noun.artifact,n,an enclosure for animals (as chicken or livestock),
0,brown,0,brown.n.01,noun.attribute,n,an orange of low brightness and saturation,
1,brown,1,brown.n.02,noun.person,n,Scottish botanist who first observed the movement of small particles in fluids now known a Brownian motion (1773-1858),
2,brown,2,brown.n.03,noun.person,n,"abolitionist who was hanged after leading an unsuccessful raid at Harper's Ferry, Virginia (1800-1859)",
3,brown,3,brown_university.n.01,noun.artifact,n,a university in Rhode Island,
4,brown,4,brown.v.01,verb.change,v,fry in a pan until it changes color,brown the meat in the pan
5,brown,5,embrown.v.02,verb.change,v,make brown in color,the draught browned the leaves on the trees in the yard
6,brown,6,brown.s.01,adj.all,s,of a color similar to that of wood or earth,
7,brown,7,brown.s.02,adj.all,s,(of skin) deeply suntanned,
0,lawn,0,lawn.n.01,noun.location,n,a field of cultivated and mowed grass,
0,lamb,0,lamb.n.01,noun.animal,n,young sheep,
1,lamb,1,lamb.n.02,noun.person,n,English essayist (1775-1834),
2,lamb,2,lamb.n.03,noun.person,n,a person easily deceived or cheated (especially in financial matters),
3,lamb,3,lamb.n.04,noun.person,n,a sweet innocent mild-mannered person (especially a child),
4,lamb,4,lamb.n.05,noun.food,n,the flesh of a young domestic sheep eaten as food,
5,lamb,5,lamb.v.01,verb.body,v,give birth to a lamb,the ewe lambed
0,penis,0,penis.n.01,noun.body,n,the male organ of copulation (`member' is a euphemism),
0,write,0,write.v.01,verb.creation,v,produce a literary work,She composed a poem;He wrote four novels
1,write,1,write.v.02,verb.communication,v,communicate or express by writing,Please write to me every week
2,write,2,publish.v.03,verb.creation,v,have (one's written work) issued for publication,How many books did Georges Simenon write?;She published 25 books during her long career
3,write,3,write.v.04,verb.communication,v,communicate (with) in writing,"Write her soon, please!"
4,write,4,write.v.05,verb.communication,v,communicate by letter,He wrote that he would be coming soon
5,write,5,compose.v.02,verb.creation,v,write music,Beethoven composed nine symphonies
6,write,6,write.v.07,verb.creation,v,mark or trace on a surface,The artist wrote Chinese characters on a big piece of white paper;Russian is written with the Cyrillic alphabet
7,write,7,write.v.08,verb.communication,v,record data on a computer,boot-up instructions are written on the hard disk
8,write,8,spell.v.03,verb.creation,v,write or name the letters that comprise the conventionally accepted form of (a word or part of a word),He spelled the word wrong in this letter
9,write,9,write.v.10,verb.creation,v,"create code, write a computer program",She writes code faster than anybody else
0,gum,0,chewing_gum.n.01,noun.food,n,a preparation (usually made of sweetened chicle) for chewing,
1,gum,1,gingiva.n.01,noun.body,n,the tissue (covered by mucous membrane) of the jaws that surrounds the bases of the teeth,
2,gum,2,gum.n.03,noun.substance,n,any of various substances (soluble in water) that exude from certain plants; they are gelatinous when moist but harden on drying,
3,gum,3,glue.n.01,noun.substance,n,cement consisting of a sticky substance that is used as an adhesive,
4,gum,4,gumwood.n.01,noun.plant,n,wood or lumber from any of various gum trees especially the sweet gum,
5,gum,5,gum_tree.n.01,noun.plant,n,any of various trees of the genera Eucalyptus or Liquidambar or Nyssa that are sources of gum,
6,gum,6,gum.v.01,verb.contact,v,"cover, fill, fix or smear with or as if with gum",if you gum the tape it is stronger
7,gum,7,mumble.v.02,verb.consumption,v,grind with the gums; chew without teeth and with great difficulty,the old man had no teeth left and mumbled his food
8,gum,8,gum.v.03,verb.change,v,become sticky,
9,gum,9,gum.v.04,verb.body,v,exude or form gum,these trees gum in the Spring
0,full,0,full_moon.n.01,noun.time,n,the time when the Moon is fully illuminated,the moon is at the full
1,full,1,full.v.01,verb.contact,v,beat for the purpose of cleaning and thickening,full the cloth
2,full,2,full.v.02,verb.change,v,make (a garment) fuller by pleating or gathering,
3,full,3,wax.v.03,verb.change,v,increase in phase,the moon is waxing
4,full,4,full.a.01,adj.all,a,containing as much or as many as is possible or normal,a full glass;a sky full of stars;a full life;the auditorium was full to overflowing
5,full,5,entire.s.01,adj.all,s,constituting the full quantity or extent; complete,an entire town devastated by an earthquake;gave full attention;a total failure
6,full,6,full.s.03,adj.all,s,complete in extent or degree and in every particular,a full game;a total eclipse;a total disaster
7,full,7,full.s.04,adj.all,s,filled to satisfaction with food or drink,a full stomach
8,full,8,full.a.05,adj.all,a,(of sound) having marked deepness and body,full tones;a full voice
9,full,9,full.s.06,adj.all,s,having the normally expected amount,gives full measure;gives good measure;a good mile from here
10,full,10,broad.s.05,adj.all,s,being at a peak or culminating point,broad daylight;full summer
11,full,11,wide.s.06,adj.all,s,having ample fabric,the current taste for wide trousers;a full skirt
12,full,12,fully.r.01,adv.all,r,to the greatest degree or extent; completely or entirely; (`full' in this sense is used as a combining form),fully grown;he didn't fully understand;knew full well;full-grown;full-fledged
0,dish,0,dish.n.01,noun.artifact,n,a piece of dishware normally used as a container for holding or serving food,we gave them a set of dishes for a wedding present
1,dish,1,dish.n.02,noun.food,n,a particular item of prepared food,she prepared a special dish for dinner
2,dish,2,dish.n.03,noun.quantity,n,the quantity that a dish will hold,they served me a dish of rice
3,dish,3,smasher.n.02,noun.person,n,a very attractive or seductive looking woman,
4,dish,4,dish.n.05,noun.artifact,n,directional antenna consisting of a parabolic reflector for microwave or radio frequency radiation,
5,dish,5,cup_of_tea.n.01,noun.act,n,an activity that you like or at which you are superior,chemistry is not my cup of tea;his bag now is learning to play golf;marriage was scarcely his dish
6,dish,6,serve.v.06,verb.consumption,v,provide (usually but not necessarily food),We serve meals for the homeless;She dished out the soup at 8 P.M.;The entertainers served up a lively show
7,dish,7,dish.v.02,verb.change,v,make concave; shape like a dish,
0,movie,0,movie.n.01,noun.communication,n,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement,they went to a movie every Saturday night;the film was shot on location
0,better,0,better.n.01,noun.attribute,n,something superior in quality or condition or effect,a change for the better
1,better,1,bettor.n.01,noun.person,n,someone who bets,
